,mAP50,Precision,Recall
clean,0.4373453533192091,0.5894958293436747,0.4173014321334466
smoke,0.4076244415448874,0.5865488119895779,0.3861916265054903
dust,0.40535348165449375,0.5616246542877903,0.389337761539843
blur,0.2199973283776711,0.5465441398638019,0.19918577708783963
combined,0.16615262151742394,0.4757984340007606,0.1765959985692713
